id,title,company,industry,location,salary,job_type,experience,education,posting_date,source,description,requirements,url
10645540,"អ្នកបកប្រែភាសាកូរ៉េ , Korean Translator",Kyungshin (Cambodia) Corp.,Manufacturing,Kandal,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"- Female and Male only - B A of relate field you wish to apply - Korean language good, if have certificate is advantage - Computer Ms office is advantage - More than 1 year experience in the field or ",N/A,"https://www.camhr.com/a/job/10645540?title=%20%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%94%E1%9E%80%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9F%82%E1%9E%97%E1%9E%B6%E1%9E%9F%E1%9E%B6%E1%9E%80%E1%9E%BC%E1%9E%9A%E1%9F%89%E1%9F%81%20,%20Korean%20Translator"
10645121,បុគ្គលិក IT On Site ( 3 នាក់),"DIRUI EQUIOMENT TRADING CO., LTD.",Trading,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,• ប្រាក់ខែ៖ $ 450-$650 (សាកល្បង) / $ 500-700 (ជាប់ស៊ប់) • រយៈពេលសាកល្បង៖ ២ ខែ,N/A,https://www.camhr.com/a/job/10645121?title=%E1%9E%94%E1%9E%BB%E1%9E%82%E1%9F%92%E1%9E%82%E1%9E%9B%E1%9E%B7%E1%9E%80%20IT%20On%20Site%20(%203%20%E1%9E%93%E1%9E%B6%E1%9E%80%E1%9F%8B)
10645128,Senior Receptionist (1 post) / Customer Service (1 post),MORAL DENTAL CLINIC,Health/Personal Care,Phnom Penh,Negotiable,Full Time,Function,~,Term,CamHR,1. Senior Receptionist X 1 - មានបទពិសោធន៍យ៉ាងតិច 2 ឆ្នាំ - អាចនិយាយភាសាចិនបាន ឬ មិនអាចនិយាយភាសាចិន 2.Customer Service X 1 - អាចមានបទពិសោធន៍ ឬមិនមានបទពិសោធន៍- - អាចនិយាយភាសាចិនបាន ឬ មិនអាចនិយាយភាសាចិន,N/A,https://www.camhr.com/a/job/10645128?title=Senior%20Receptionist%20%20(1%20post)%20/%20Customer%20Service%20(1%20post)
10645040,Sale Executive & Sale Manager,"TONLE TECHNOLOGY AND COMMUNICATION CO.,LTD.",Chat Now,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"• Pushing sale by understanding customer demand, tracking profile and analysing the importance message in order to find sale opportunity; • Giving feedback all customer’s questions and/or issues; • Bu",Job Requirements * Job requirement for Sale Executive • Have at least 1-year experiences in sale • Hold Bachelor of Business Administration (marketing) or others related field if equivalence. • Fresh ,https://www.camhr.com/a/job/10645040?title=Sale%20Executive%20&%20Sale%20Manager
10645041,Senior admin & HR officer,"TONLE TECHNOLOGY AND COMMUNICATION CO.,LTD.",Chat Now,Phnom Penh,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"- Support recruitment processes (job posting, screening, interviewing). - Prepare employment contracts and maintain employee records. - Coordinate onboarding and staff orientation. - Assist with month","Job Requirements * Job Requirements for Senior & HR officer: - Bachelor of Business Administration, or other related fields. - Good at monitoring and organizing skills. - At least 2 years experiences ",https://www.camhr.com/a/job/10645041?title=Senior%20admin%20&%20HR%20officer
10644042,Operation Officer (Chinese Speaking),"RICH DIAMOND TRADING Co., Ltd.",Chat Now,Phnom Penh,Negotiable,Chat Now,Function,Bachelor Degree,Term,CamHR,"* Job Descriptions: The Operation Officer (Chinese Speaking) is responsible for coordinating and managing the company’s daily import and export activities to ensure smooth, efficient, and compliant tr","Job Requirements 1. Education: • Bachelor’s degree in business administration, International Trade, Logistics Management, or a related field. 2. Experience: • 1–2 years of experience in import/export,",https://www.camhr.com/a/job/10644042?title=Operation%20Officer%20(Chinese%20Speaking)
10644941,总经理-助理,"Gold Zone Media Co., Ltd.",Advertising/Media/Publishing/Printing,Phnom PenhKhan Chamkarmon Tonle Bassac khan chamkarmon,$1000-$2000,Full Time,Function,Bachelor Degree,Term,CamHR,1.协助总经理处理日常行政及运营事务。2.代表总经理协调并跟进内部及外部沟通工作。3.负责准备报告、演示文稿、会议资料及会议纪要。4.负责翻译。5.安排总经理的日程、会议、差旅及商务活动。6.协助跨部门协调，确保信息沟通顺畅。,Job Requirements 1.本科及以上学历。2.熟练老挝语，中文或英语能力者优先。3.至少 2 年助理或相关岗位工作经验。4.具备较强的组织、沟通及协调能力。5.熟练使用 Microsoft Office（Word、Excel、PowerPoint）。6.能够独立工作，并能在压力下同时处理多项任务。7.具备高度的职业素养、诚信意识及保密意识。,https://www.camhr.com/a/job/10644941?title=%E6%80%BB%E7%BB%8F%E7%90%86-%E5%8A%A9%E7%90%86
10644942,财务专员,"Gold Zone Media Co., Ltd.",Advertising/Media/Publishing/Printing,Phnom PenhKhan Chamkarmon Tonle Bassac khan chamkarmon,$1000-$2000,Full Time,Function,Bachelor Degree,Term,CamHR,1.负责日常会计工作，包括凭证处理、账务登记及账目对账。2.编制月度、季度及年度财务报表和相关财务报告。3.管理应收账款和应付账款。4.协助预算编制及成本控制工作。5.确保财务工作符合公司制度及当地财务法规要求。6.配合内外部审计，并提供所需的财务资料。7.在需要时与银行、税务机关及外部审计机构进行协调沟通。,Job Requirements 1.财务、会计或相关专业本科及以上学历。2.具备至少 3 年相关财务或会计工作经验。3.熟悉会计准则及相关财务法规。4.熟练使用 Microsoft Office 办公软件，尤其是 Excel。5.工作细致认真，责任心强。6.能够独立开展工作，并按时完成任务。7.具备良好的老挝语能力；中文者优先。,https://www.camhr.com/a/job/10644942?title=%E8%B4%A2%E5%8A%A1%E4%B8%93%E5%91%98
10644937,翻译人员,"Gold Zone Media Co., Ltd.",Advertising/Media/Publishing/Printing,Phnom PenhKhan Chamkarmon Tonle Bassac DIAMOND TWIN TOWER,$500-$999,Full Time,Function,Bachelor Degree,Term,CamHR,1.负责文件翻译，确保内容准确、专业。2.提供口头翻译支持，保证沟通顺畅。,Job Requirements 1.具备良好的中外文语言能力，听、说、读、写能力。2.具备相关翻译经验，熟悉商务、行政或行业术语者优先。3.工作认真细致，责任心强，具备良好的时间管理能力。4.具备良好的沟通能力和团队协作意识。5.可以出差 ，会开车优先考虑。,https://www.camhr.com/a/job/10644937?title=%E7%BF%BB%E8%AF%91%E4%BA%BA%E5%91%98
10641600,Maintenance Planner (Location: Okvau Site),Renaissance Minerals (Cambodia) Limited,General Business Services,Mondulkiri,Negotiable,Full Time,Function,Bachelor Degree,Term,CamHR,"• Monitor SAP notifications and consultation with the maintenance team, delete, postpone or release notifications. • Review current maintenance backlog, identify whether they are still current, in con","Job Requirements • University graduation in technical majors (electrical, mechanical engineering). • Knowledge of electrical or mechanical maintenance techniques and practices. • Ability to read, writ",https://www.camhr.com/a/job/10641600?title=Maintenance%20Planner%20%20(Location:%20Okvau%20Site)
